Раздел;Блок;Код;Направление;Data Engineer;Data Architect;AI Architect;ML Researcher;ML Engineer;AI PM;Data Analyst;AI CDO;AI Security Engineer;TADS;MLOps
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-1;Основы теории вероятностей, математической статистики и теории информации;Б;Б;Б;П;С;Б;С;Б;Б;С;Б
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-2;Байесовская статистика и моделирование;-;-;-;П;Б;-;С;-;-;Б;-
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-3;Методы оптимизации;-;-;Б;П;С;-;Б;-;-;Б;-
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-4;Статистические основы МО;-;-;Б;С;С;-;П;-;-;С;-
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-5;Дополнительные главы математической теории ИИ;-;-;-;П;-;-;-;-;-;-;-
Профессиональные (инструментальные) компетенции;Математические основы ИИ;MF-6;Математическая логика и логика принятия решений;-;-;Б;П;-;-;-;-;-;-;-
Профессиональные (инструментальные) компетенции;Работа с данными;BD-1;Предварительный анализ данных;С;Б;Б;Б;Б;Б;П;-;-;С;-
Профессиональные (инструментальные) компетенции;Работа с данными;BD-2;Понимание (интерпретация) данных;С;С;Б;Б;Б;С;П;-;-;С;Б
Профессиональные (инструментальные) компетенции;Работа с данными;BD-3;Хранение данных;С;П;Б;-;Б;-;Б;-;-;С;С
Профессиональные (инструментальные) компетенции;Работа с данными;BD-4;Обработка больших данных;П;С;Б;-;Б;-;Б;-;-;С;С
Профессиональные (инструментальные) компетенции;Работа с данными;BD-5;Дополнительные технологии организации инфраструктуры больших данных;П;С;-;-;Б;-;-;-;-;Б;С
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-2;Основы машинного обучения;Б;-;С;П;П;Б;С;-;-;С;С
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-3;Методы классического машинного обучения с учителем;Б;;С;П;П;-;С;-;-;С;Б
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-4;Методы классического машинного обучения без учителя;Б;-;С;П;П;-;С;-;-;С;Б
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-5;Методы повышения устойчивости, надежности безопасности алгоритмов МО;-;-;Б;Б;С;-;-;-;П;Б;С
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-6;Обучение с подкреплением;-;-;Б;П;С;-;Б;-;-;Б;Б
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-7;Автоматическое машинное обучение;-;-;С;П;П;-;С;-;-;Б;Б
Профессиональные (инструментальные) компетенции;Машинное обучение;ML-8;Алгоритмы обучения на нестандартных объемах данных;-;-;Б;С;С;-;Б;-;-;Б;Б
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-1;Нейронные сети, глубокие нейронные сети;-;-;С;П;П;-;С;-;-;Б;С
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-2;Современные архитектуры генеративных глубоких сетей;-;-;П;П;П;-;Б;-;-;Б;Б
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-3;Компьютерное зрение;-;-;Б;С;С;-;С;-;-;Б;Б
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-4;Обработка естественного языка;-;-;Б;С;С;-;С;-;-;Б;-
Профессиональные (инструментальные) компетенции;Глубокое обучение;DL-5;Распознавание и генерация речи;-;-;Б;С;С;-;Б;-;-;Б;-
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-1;Управление знаниями;-;П;Б;-;-;Б;-;С;-;-;-
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-2;Мультиагентные алгоритмы;-;-;Б;П;Б;-;-;-;-;-;С
Профессиональные (инструментальные) компетенции;Другие направления ИИ;O-3;Интеллектуальные методы оптимизации;-;-;Б;С;С;-;-;-;-;-;Б
Профессиональные (инструментальные) компетенции;Языки программирования;PL-1;Python;С;П;П;С;П;Б;С;-;Б;С;С
Профессиональные (инструментальные) компетенции;Языки программирования;PL-2;Java/Scala/Kotlin;С;С;С;-;С;-;Б;-;Б;С;С
Профессиональные (инструментальные) компетенции;Языки программирования;PL-3;C#;Б;;;;Б;;С;;Б;Б;С
Профессиональные (инструментальные) компетенции;Языки программирования;PL-4;С/С++;Б;Б;Б;Б;С;-;-;-;Б;-;Б
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-1;Понимание бизнес-проблемы;-;Б;С;Б;Б;П;С;С;-;Б;-
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-2;Моделирование, проведение экспериментов;-;-;Б;П;С;Б;С;-;-;С;Б
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-3;Проектирование (ML System Design);-;С;П;Б;С;С;-;-;Б;-;С
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-4;Управление процессами жизненного цикла ИИ-продукта;-;Б;С;Б;Б;П;-;С;-;-;С
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-5;Промышленная разработка, развертывание,  эксплуатация и мониторинг систем ИИ;Б;Б;Б;-;П;Б;-;-;Б;-;П
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-6;Стратегия ИИ. Цифровая экосистема с ИИ;-;-;Б;-;-;С;-;П;-;-;-
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-7;Экономика ИИ;*;*;*;*;*;*;*;*;*;*;*
Профессиональные (инструментальные) компетенции;Жизненный цикл систем ИИ;LC-8;История развития и основные тренды современного ИИ;*;*;С;П;Б;С;Б;П;*;Б;*
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -1;Доверенный ИИ, управление рисками и безопасностью систем ИИ;-;-;Б;-;Б;Б;-;Б;П;Б;Б
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -2;Доверенный ИИ управление рисками и безопасностью систем ИИ;-;-;Б;-;Б;-;-;Б;П;-;Б
Профессиональные (инструментальные) компетенции;Безопасность ИИ;AI S -3;Доверенный ИИ управление рисками и безопасностью систем ИИ;-;-;С;-;-;-;-;Б;С;-;-
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-1;Применение и разработка генеративных моделей и БЯМ;-;-;Б;П;С;-;Б;-;Б;-;-
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-2;Дообучение и адаптация генеративных моделей;-;-;Б;С;С;-;Б;-;-;-;Б
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-3;Расширение контекста генерации;-;-;С;С;С;-;Б;-;-;-;Б
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-4;Интеллектуальные агенты на базе генеративных моделей;-;-;С;С;С;-;Б;-;-;-;Б
Профессиональные (инструментальные) компетенции;Большие языковые модели и генеративный ИИ;LLM-5;Проектирование промптов;-;-;Б;Б;С;-;С;-;-;-;Б
Профессиональные (инструментальные) компетенции;Когнитивная наука;CS-1;Когнитивное моделирование поведения человека;*;*;*;*;*;*;*;*;*;*;*
Профессиональные (инструментальные) компетенции;Когнитивная наука;CS-2;Разработка интерфейсов мозг–компьютер;*;*;*;*;*;*;*;*;*;*;*
Профессиональные (инструментальные) компетенции;Высокопрозводительные вычисления для ИИ;HPC-1;Высокопроизводительные вычислительные архитектуры;*;*;*;*;*;*;*;*;*;*;*
Профессиональные (инструментальные) компетенции;Высокопрозводительные вычисления для ИИ;HPC-2;Архитектуры распределенных вычислений;*;*;*;*;*;*;*;*;*;*;*
Опережающие компетенции;Управление решениями, агентные/мультиагентные системы;FC-3;Разработка алгоритмов обучения с подкреплением;-;-;С;П;Б;-;-;Б;-;-;-
Опережающие компетенции;Элементы AGI;FC-4;Рассуждения и рефлексия;-;-;С;П;Б;-;-;Б;-;-;-
Опережающие компетенции;Безопасность, доверие и объяснимость;FC-5;"Выравнивание
целей";-;-;Б;П;Б;-;-;Б;С;-;Б
Универсальные компетенции;Универсальные компетенции;SS-1;Этика и философия ИИ;+;+;+;+;+;+;+;+;+;+;+
Универсальные компетенции;Универсальные компетенции;SS-2;Командная работа, коммуникации и лидерство в ИИ;+;+;+;+;+;+;+;+;+;+;+
Универсальные компетенции;Универсальные компетенции;SS-3;Системное, критическое и креативное мышление в ИИ;+;+;+;+;+;+;+;+;+;+;+
